Zipcode,Lat,Long
522302,16.4063,80.5994
522018,16.3972,80.3993
522502,16.4473,80.6049
522002,16.3146,80.441
522001,16.2893,80.4605
522034,16.3769,80.466
522508,16.385,80.5161
522305,16.3626,80.666
522303,16.4325,80.666
522003,16.285,80.4299
522006,16.32,80.4098
522019,16.1846,80.3325
522016,16.4782,80.3881
522509,16.309,80.5105
522501,16.4762,80.5994
522510,16.3769,80.53
521366,16.2903,81.1527
521149,16.2176,81.0865
521369,16.3155,81.1968
521122,1.3455,103.9524
521121,16.0256,80.9539
521138,16.2861,80.9152
521001,16.1253,81.1086
521136,16.2633,80.9263
521120,15.8515,80.965
521131,16.1216,81.0203
521126,16.1402,80.9097
521002,16.2465,81.2188
521132,16.1793,80.871
521125,16.088,80.9152
521150,16.2139,80.9982
521356,16.3519,81.092
521157,16.3052,80.9539
521133,16.171,80.9484
521328,15.9483,81.0534
521332,16.2918,81.0479
521156,16.268,81.0368
521135,16.2101,80.9097
521331,16.3165,81.081
521130,16.0964,80.9761
521162,16.1924,81.0423
521158,16.3081,81.0203
522402,16.5054,80.221
522612,16.3886,79.4929
522647,16.0379,79.6839
522659,15.9771,79.6278
522617,16.188,79.9081
522415,16.5815,79.6278
522529,16.2746,80.2656
522410,16.5467,80.1094
522658,16.2159,79.7624
522616,16.0833,80.154
522603,16.2853,79.9976
522611,16.1743,80.1094
522601,16.1933,80.02
522409,16.6034,80.0758
522436,16.5319,80.2879
522412,16.4271,80.0423
522663,16.2558,79.6278
522411,16.5869,79.9752
522549,16.2705,80.1763
522613,16.3109,79.3353
522408,16.3128,80.087
522626,16.0348,80.1094
522437,16.485,79.7961
522661,16.2546,79.8409
522615,16.3641,79.9417
522435,16.5948,79.8969
522649,16.0222,79.8409
522614,16.4019,79.7624
522234,16.2017,80.1987
522414,16.6347,79.7624
522233,16.1572,80.2433
522619,16.1319,80.1987
522403,16.4213,80.1652
522426,16.4747,79.3578
522421,16.5747,79.4929
522657,16.1186,79.6727
522413,16.5016,79.8969
522660,15.935,79.7176
522646,16.1151,79.8409
522438,16.3323,80.2544
522401,16.4164,80.3102
522439,16.5532,79.3015
524002,14.4386,80.1094
524142,14.7904,79.9864
524318,14.6007,80.1317
524312,14.7141,79.3128
524203,14.9429,80.0423
524152,14.7352,80.0423
524315,14.6901,80.0647
524303,14.5963,79.5041
524302,14.62,79.2677
524225,14.7826,79.8073
524004,14.4521,79.8857
524306,14.5642,79.8185
524223,14.8788,79.8969
524304,14.7174,79.639
524322,14.6003,79.5941
524222,14.8564,79.4029
524307,14.6763,79.4929
524236,15.0366,79.3128
524310,15.028,79.1323
524226,14.894,79.2226
524228,14.8165,79.5379
524003,14.4109,79.9976
524230,14.8062,79.3128
524240,14.6924,79.8521
524346,14.3658,80.02
524305,14.5221,79.9081
524221,14.9528,79.4929
524137,14.5118,80.0147
524224,14.8688,79.6727
524227,14.9947,79.4029
524239,15.0072,79.6727
524308,14.6423,79.7624
524316,14.516,80.0271
524344,14.2776,80.1094
524311,14.3926,80.1094
524317,14.6142,79.9081
524313,14.5316,80.1317
524234,14.7325,79.7176
524314,14.4837,80.087
524201,14.9581,79.8633
524301,14.5431,79.3466
524366,14.542,79.9696
524001,14.4534,79.9836
524005,14.4723,79.9878
523171,16.0167,80.221
523001,15.4814,80.0591
523201,15.8528,79.9417
523169,15.9732,80.2879
523245,15.4609,79.4929
523274,15.3349,80.02
523212,15.7288,80.02
523304,15.8358,79.5828
523286,15.4798,80.154
523182,15.5252,80.1317
523112,15.1707,79.2226
523180,15.5967,80.1763
523116,15.1478,79.7176
523281,15.0524,79.9081
523270,15.4273,79.7624
523101,15.2655,80.02
523301,15.9873,80.087
523253,15.6125,79.7624
523115,15.0153,79.8521
523211,15.6128,80.02
523214,15.8191,80.0926
523292,15.1619,80.0311
523170,15.8671,80.2544
523271,15.3499,79.8409
523225,15.5282,79.9417
523113,15.1518,79.8073
523261,15.859,80.0758
523223,15.3179,79.4029
523230,15.309,79.4591
523226,15.5583,79.8409
523246,15.5491,79.4029
523252,15.7395,79.7512
504346,19.5267,78.7703
523167,15.8167,80.1652
523104,15.2212,80.0647
523114,15.0644,79.6614
523254,15.3705,79.5379
523265,15.8001,79.8073
523155,15.8424,80.3492
523183,15.6633,80.1094
523108,15.1331,79.4029
523157,15.809,80.3826
523247,15.7937,79.6727
523263,15.6783,79.9305
523109,15.2905,79.8073
523262,15.5695,80.087
523303,15.9921,79.9417
523291,15.0343,80.02
523260,15.9155,80.0423
523135,15.6925,80.2433
523181,15.7621,80.2433
523279,15.354,79.9305
523227,15.4203,79.3691
523111,15.3285,79.6278
523117,15.1857,79.5379
523190,15.8984,80.1763
523187,15.7717,80.3269
523186,15.6663,80.1763
523264,15.7094,79.8521
523280,15.3796,80.1149
523165,15.7959,80.3492
504214,18.9575,79.8745
523224,15.3114,79.2677
523166,15.8398,80.4215
523228,15.4963,79.2677
523241,15.6461,79.4929
523185,15.7581,80.154
523302,16.0982,79.9752
523105,15.2041,79.9417
523272,15.4375,79.9864
523168,15.9055,80.3325
523213,15.7551,80.087
523002,15.502,80.0032
523156,15.8273,80.354
523184,15.7641,80.2879
523273,15.4164,79.9025
504215,18.9082,79.2113
523240,15.5599,79.6278
506003,17.9418,79.5266
534197,16.7047,81.5706
534198,16.7002,81.4609
534331,16.7755,81.7295
534196,16.7436,81.5212
534146,16.8226,81.5925
534111,16.981,81.4609
534341,17.128,81.6145
534101,16.8485,81.5103
534186,16.6562,81.5267
534145,16.8919,81.5706
534340,17.089,81.6638
534302,16.8973,81.7021
534112,16.8968,81.4059
534156,16.7776,81.6364
534411,16.8397,81.4389
534313,17.009,81.5706
534315,17.3447,81.4718
534301,16.919,81.6583
534342,16.9883,81.6364
534176,17.0209,81.4334
534316,17.1365,81.5377
534305,16.9388,81.5706
534195,16.7443,81.3949
534166,16.7796,81.5432
534318,17.1947,81.5267
534350,16.9919,81.724
534102,16.8068,81.5624
534329,16.8514,81.724
534165,16.7657,81.4883
522102,15.8842,80.441
522262,15.9371,80.7879
522312,16.1221,80.6271
522256,16.094,80.7824
522259,16.0627,80.7325
522314,15.9202,80.666
522124,16.0929,80.4938
522325,16.1073,80.6882
522257,16.1177,80.7935
522213,16.2412,80.555
522301,16.241,80.7421
522211,16.2016,80.5827
522316,16.1005,80.5327
522309,16.0365,80.666
522306,16.2871,80.6715
522261,16.1782,80.7104
522101,15.8771,80.4771
522268,15.9985,80.727
522265,16.0442,80.8433
522311,16.0104,80.5994
522341,16.0802,80.5994
522324,16.1597,80.8212
522315,16.0297,80.5105
522212,16.1582,80.5216
522111,15.9386,80.555
522113,15.9853,80.4271
522330,16.3596,80.5994
522201,16.2512,80.6493
522313,16.1752,80.6438
522304,16.2956,80.7325
522264,15.8823,80.8655
522308,16.3342,80.6826
522307,16.3075,80.6049
522202,16.2289,80.6715
522317,15.9095,80.4215
522329,15.9658,80.6438
505325,18.8123,78.5888
522318,16.1556,80.5938
520003,16.5256,80.6285
521226,16.9462,80.666
520012,16.5315,80.5966
521212,16.6212,80.7104
521250,16.2609,80.871
521245,16.3867,80.8156
521101,16.5094,80.8212
521181,16.7156,80.4771
521165,16.3471,80.8433
521403,16.9979,80.5216
521109,16.6281,80.8655
521190,16.8552,80.221
521175,16.9177,80.0647
520008,16.5127,80.6646
521286,16.6018,80.799
521229,16.7197,80.5661
521211,16.683,80.7879
520007,16.4853,80.6715
520015,16.5421,80.6382
521102,16.5364,80.7713
521178,16.921,80.1317
521163,16.3442,80.7769
521182,16.7031,80.2098
521151,16.4365,80.7547
520002,16.5099,80.6355
521185,16.8006,80.299
521230,16.7257,80.6993
520010,16.499,80.6521
521227,17.0061,80.6993
521180,16.6993,80.377
521456,16.606,80.377
521401,17.0049,80.4215
521183,16.6951,80.2879
521235,17.1067,80.5994
520001,16.538,80.6133
521139,16.4523,80.7159
521170,16.818,80.4215
521402,16.9731,80.2433
521108,16.5185,80.6965
521225,16.5391,80.5716
521256,16.3546,80.8821
521104,16.5009,80.7602
520004,16.5225,80.6577
521241,16.5908,80.555
521246,16.308,80.8821
521228,16.6162,80.5994
521457,16.8488,80.087
521231,1.3559,103.9491
521164,16.4236,80.8599
521110,16.631,80.9318
521153,16.4328,80.8046
520013,16.498,80.6299
520011,16.5231,80.6369
509132,16.1509,77.6765
521107,16.5512,80.7104
521134,16.4738,80.6984
521137,16.4751,80.7048
533577,16.6328,82.0434
533252,16.3619,81.7678
533247,16.4969,81.9317
533216,16.6561,82.117
533211,16.6592,82.0462
533217,16.4829,82.0244
533201,16.5765,82.0244
533214,16.5961,81.9262
533222,16.5673,82.0897
533236,16.7838,81.7896
533235,16.8531,81.7678
